userID	bookID	weight
111190	0767905318	8
63956	039397491X	10
240100	074347712X	0
266321	0752826840	6
93114	1891946013	8
31683	0345313860	6
65663	0451200861	0
169104	0440180295	7
227705	1551667061	0
69684	0425038262	4
129461	0786864982	8
57449	3746614007	0
63714	018615126	10
50993	3442436192	0
164926	0399214321	10
211426	0553274295	0
51883	0373089406	0
201333	1412006908	9
271609	0449212602	0
55492	0310412315	0
198711	0439200237	0
227974	0441731228	8
123553	0099716607	5
21031	0440193613	0
111346	0515121487	0
73127	1567183042	0
207148	055357227X	0
31315	0679454489	10
5273	0140345809	8
255092	0345424050	8
112914	0688123252	0
2982	0441790348	8
181687	051512947X	0
93629	0590300547	10
155916	0812532619	0
185233	0440214009	0
137413	3453147596	8
172774	0451188454	8
147575	0521775515	9
31984	3423072776	5
147965	1551667118	0
171422	0449241866	0
56959	0802706800	0
134808	0821601774	0
229409	0671038567	0
78783	0743436679	0
74520	0679426159	0
187487	0451190491	0
156971	227711412X	0
123883	0373834284	5
173291	0452281695	0
35931	0762188618	0
29881	1853260193	0
175737	089375403X	7
168064	006097673X	0
245295	0140292969	0
35859	0766602451	0
228764	0553280945	0
11676	0451524292	7
163824	2070413586	7
230522	0804109567	0
23902	0385279353	7
223566	067189109X	8
212394	0140009337	7
208077	0345433351	0
36606	1561380156	0
34347	0140187537	9
171846	0003252485	0
251422	0373089554	0
165183	0425176096	6
151043	0446670251	7
263163	0439136350	10
7346	0385335482	0
40559	0393048969	0
148502	0060934417	8
153662	0515114995	0
210035	0451168917	9
238526	0446675059	0
213760	0451208625	6
99090	8445074334	8
177373	0316614300	0
157118	9681500954	7
187517	0971158312	8
13552	0671798359	0
76499	034539044X	10
245963	0140067477	0
23459	0671026011	0
135398	1593080220	0
173835	0688019323	0
37950	1878321250	8
204864	044661100X	7
163307	0816706034	0
179734	043935806X	10
143175	1558745033	0
201526	0345423615	0
134483	0802131867	6
35859	0671798332	0
119949	057120533X	9
39358	0440237300	5
136925	0060745908	5
194519	2070424499	7
227520	0515120871	9
108155	1581341628	0
140795	3442095603	7
174791	0449140768	0
246593	0858894599	0
241666	0451174526	0
169233	0440108454	0
10819	0380710722	0
146113	0380717581	0
183284	0380814021	8
28820	0345298349	0
226205	0440192463	0
104636	055356451X	0
227447	0375407251	0
51571	0440214165	0
173632	3614596648	0
198711	0590460595	0
120080	0192835157	10
95921	0330237411	0
143471	3453126300	0
117594	0760731292	0
219301	0688170528	9
195694	006019877X	0
113983	1560767014	0
11676	074756146X	0
234623	0786239484	0
228790	0971880107	5
20155	0553249754	6
158285	0451182006	4
179744	0684848783	0
6772	0440216842	0
270715	0345412885	0
175374	842397376X	0
214244	3499233126	0
170518	0894802372	0
101305	0380538199	9
270713	0671880454	8
35859	0440240891	0
69078	0964129299	8
100546	188301073X	0
198711	0816713200	0
153662	0373026803	9
203799	037328019X	0
143103	340414578X	8
224992	1857985915	0
224349	0060809736	6
35859	0061020656	0
268110	0380811065	0
171862	0451197410	0
182853	0373030525	0
257204	157297009X	0
152435	1560447206	7
231827	0881010197	10
260025	0446611085	8
52584	0452281881	9
49460	0786888083	7
81045	0312983271	0
62100	0449007111	0
224764	0786015055	0
225065	0375702652	0
6251	0440574862	0
6323	0399143947	0
142093	0446517984	0
83743	0786868716	0
265157	0375707166	4
51450	0425188566	3
112897	1593080204	9
41484	0394825934	0
247121	0375718850	8
128835	0345374762	0
261264	0399142614	10
174304	0688164714	0
188589	0316777722	0
276875	8838910987	8
222900	1550546007	10
185384	0816744440	0
89514	0394489780	0
33078	0091837162	8
176062	0340264950	0
162856	0060096195	8
89851	0812570065	5
129740	9069742772	0
214138	0440206529	6
162639	0385335180	0
151589	0440221315	0
198711	0385484513	0
93047	1555836577	0
208033	0971880107	0
144131	0733517633	0
113663	0385298943	9
218360	04170702007	8
269698	0786865504	6
263877	0571179576	0
130554	0152273220	6
190533	0312195516	0
196077	0525945121	0
228681	0451188454	0
179843	0312980388	10
216249	0060172142	9
267354	0449006379	9
254899	0812535790	0
49109	0895863383	0
6092	0140234209	0
125287	0312902026	9
82171	2277123242	0
258152	0061020052	0
255218	0679457313	0
212898	0688007732	0
78834	1573420387	10
109247	8472453723	0
95866	2070329135	6
21213	140003065X	0
164140	0679762108	7
26535	0671034413	0
72992	2020058065	0
263877	055358460X	0
244402	0849911435	0
78783	0553575953	0
47807	0451188454	9
11676	0312080735	0
261141	0525942386	0
250750	0253342449	0
262859	0787110035	0
170634	1564580644	10
76352	0385509510	0
264201	8533604440	0
177879	0253209781	10
183	24340/88	0
129716	0060655437	0
31010	0099281848	6
11245	0446667900	6
246586	3492233139	5
73394	0373441908	0
244993	0099410184	0
81247	972290354	5
137588	0806931876	9
98076	1565122798	0
32037	0385316917	8
274308	0515091383	0
33943	2253061190	0
93701	0679426159	10
138189	0425185710	0
11676	3897484854	10
208141	0940989336	0
253115	0330312367	7
269890	0312959842	6
16919	0140119906	9
212923	1888952482	0
269916	0333693698	9
138543	0451526341	9
12835	3426611384	0
242007	0435124137	7
138073	0751523631	0
75860	0307123243	5
212898	0553148516	0
117873	0060188731	9
10447	044023722X	0
224646	1852301562	0
227447	0345456939	0
74492	0451176278	0
68191	3596143691	0
39256	0552138916	6
95420	0515111656	0
11676	0733610943	0
31556	0307105598	0
76352	0505523752	0
2466	0312971346	9
23768	0312113420	0
40330	0393315711	0
225087	0553282980	6
153662	0062511211	0
212898	0920197116	0
2276	0425172546	9
30276	0822003015	0
146432	0684859777	8
165863	0440212561	0
189835	0679642420	5
129056	0340651431	10
110973	039913705X	0
110973	0373110960	0
173684	0553055739	0
95359	0060927240	0
190708	0671422448	0
75081	0671003755	9
93047	0553572008	8
245839	3216306755	0
239465	8817151424	7
87141	1565921496	9
217106	0783547544	0
198711	0553219901	0
159506	0439064872	8
61619	1569248508	0
225666	0425184323	0
203621	0553550047	7
163804	0671003755	7
15523	0671739670	0
56399	0140186409	8
11120	9512060205	7
141493	0060392258	0
240543	0915678004	10
170227	1551669153	0
75595	0451527038	0
187145	0060907878	0
11676	0517534223	9
109605	0064407675	8
61028	0671027662	0
253852	2070373630	0
11676	0812540379	4
271245	0373241429	0
86799	0425143325	9
218286	0446607339	0
83600	3150083575	9
274549	0425133540	0
185652	3478088046	0
96475	9725681223	0
175493	3547763983	0
225763	0446674761	0
213638	0671746065	10
245963	0935576452	0
189334	0758202555	0
238120	0679781587	0
124436	0671746073	8
205735	0373166397	0
18850	3442453305	0
204167	0373709358	0
238528	0812550706	0
222800	0679429220	0
52002	0440213525	0
11676	8422681757	10
107021	0373035756	0
161923	0752819623	8
234623	0812544056	0
75085	014034893X	0
228998	0525937676	0
238120	0684803763	10
16821	0374109591	0
115490	0446365386	0
127200	0517346648	0
76352	0345453409	0
259264	1400034779	0
83001	0330390104	0
166824	0877207046	0
64436	0385502532	0
36606	0618004076	0
110214	0553251996	0
86481	0441094880	0
100743	0099235005	5
14521	0425055035	0
70585	9117890721	7
230249	0822211416	10
